"We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below."						
All submitters of data may be contacted directly via www.gisaid.org						
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_412387	BetaCoV/Shandong/LY001/2020	Asia / China / Shandong / Linyi county	2020-01-21	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Mai-Juan Ma, Dian-Ming Kang"
EPI_ISL_412418	BetaCoV/Shandong/LY002/2020	Asia / China / Shandong / Linyi	2020-01-21	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412419	BetaCoV/Shandong/LY003/2020	Asia / China / Shandong / Linyi	2020-01-23	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412420	BetaCoV/Shandong/LY004/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412421	BetaCoV/Shandong/LY005/2020	Asia / China / Shandong / Linyi	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412423	BetaCoV/Shandong/LY007/2020	Asia / China / Shandong / Linyi	2020-01-25	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412424	BetaCoV/Shandong/LY008/2020	Asia / China / Shandong / Linyi	2020-01-30	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412422	BetaCoV/Shandong/LY006/2020	Asia / China / Shandong / Linyi	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412425	BetaCoV/Shandong/LY-H13/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412426	BetaCoV/Shandong/LY-H15/2020	Asia / China / Shandong / Linyi	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	"Xiao-Lin Jiang, Wen-Kui Sun, Xiang-Na Zhao, Yang Hang, Zeng-Qiang Kou, Lin-Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma"
EPI_ISL_412459	BetaCoV/Jingzhou/HBCDC-HB-01/2020	Asia / China / Hubei / Jingzhou	2020-01-08	Jingzhou Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Maoyi Chen,Jie Hu, Chunlin Mao, Yongzhong Jiang."
EPI_ISL_412860	BetaCoV/pangolin/China/MP789/2019	Asia / China	2019-03-19	unknown	"SCSFRI, South China Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences (SCSFRI, CAFS)"	"Jiang,J.-Z., Liu,P. and Chen,J.-P."
EPI_ISL_412116	BetaCoV/England/09c/2020	Europe / England	2020-02-09	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon"
EPI_ISL_412862	BetaCoV/USA/CA9/2020	North America / USA / California / Solano	2020-02-23	California Department of Public Health 	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention "	"Krista Queen, Anna Uehara, Jing Zhang, Yan Li, Ying Tao, Clinton R. Paden, Haibin Wang, Shifaq Kamili, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Lijuan Wang, Janna' R. Murray, Jasmine Padilla, Justin Lee, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_412869	BetaCoV/Korea/KCDC05/2020	Asia / South Korea /Seoul	2020-01-30	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412870	BetaCoV/Korea/KCDC06/2020	Asia / South Korea/ Seoul	2020-01-30	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412871	BetaCoV/Korea/KCDC07/2020	Asia / South Korea / Seoul	2020-01-31	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han "
EPI_ISL_412872	BetaCoV/Korea/KCDC12/2020	Asia / South Korea / Gyeonggi-do	2020-02-01	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_412873	BetaCoV/Korea/KCDC24/2020	Asia / South Korea / Chungcheongnam-do	2020-02-06	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention "	"Jeong-Min Kim, Yoon-Seok Chung, Namjoo Lee, Mi-Seon Kim, Sang Hee Woo, Hye-Jun Jo, Sehee Park, Heui Man Kim, Myung Guk Han"
EPI_ISL_409025	BetaCoV/Hong Kong/VM20002302/2020	Asia / Hong Kong	2020-02-01	Queen Elizabeth Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409022	BetaCoV/Hong Kong/VB20024950/2020	Asia / Hong Kong	2020-01-29	Princess Margaret Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409020	BetaCoV/Hong Kong/VM20001988/2020	Asia / Hong Kong	2020-01-30	Queen Elizabeth Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409002	BetaCoV/Hong Kong/VM20001776/2020	Asia / Hong Kong	2020-01-29	Queen Mary Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409001	BetaCoV/Hong Kong/VM20001794/2020	Asia / Hong Kong	2020-01-29	Queen Mary Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409000	BetaCoV/Hong Kong/VM20001403/2020	Asia / Hong Kong	2020-01-26	Tuen Mun Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408999	BetaCoV/Hong Kong/VM20001464/2020	Asia / Hong Kong	2020-01-25	Prince of Wales Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408997	BetaCoV/Hong Kong/VB20019923/2020	Asia / Hong Kong	2020-01-24	Prince of Wales Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408996	BetaCoV/Hong Kong/VB20019871/2020	Asia / Hong Kong	2020-01-24	Prince of Wales Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408995	BetaCoV/Hong Kong/VM20001218/2020	Asia / Hong Kong	2020-01-24	Tuen Mun Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409026	BetaCoV/Hong Kong/VM20002343/2020	Asia / Hong Kong	2020-02-03	Queen Elizabeth Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408994	BetaCoV/Hong Kong/VB20017970/2020	Asia / Hong Kong	2020-01-21	Prince of Wales Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408975	BetaCoV/Hong Kong/VM20001061/2020	Asia / Hong Kong	2020-01-22	Queen Elizabeth Hospital	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409024	BetaCoV/Hong Kong/VB20026565/2020	Asia / Hong Kong	2020-01-31	Caritas Medical Centre 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_408998	BetaCoV/Hong Kong/VM20001387/2020	Asia / Hong Kong	2020-01-25	Ruttonjee Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409027	BetaCoV/Hong Kong/VM20002345/2020	Asia / Hong Kong	2020-02-03	Tseung Kwan O Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_409023	BetaCoV/Hong Kong/VM20002162/2020	Asia / Hong Kong	2020-01-31	Queen Elizabeth Hospital 	Hong Kong Department of Health	"Mak Gannon C.K., Cheng Peter K.C., Lam Edman T.K., Chan Rickjason C.W., Tsang Dominic N.C. "
EPI_ISL_412898	BetaCoV/Wuhan/HBCDC-HB-02/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412899	BetaCoV/Wuhan/HBCDC-HB-03/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412900	BetaCoV/Wuhan/HBCDC-HB-04/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412912	BetaCoV/Germany/Baden-Wuerttemberg-1/2020	Europe / Germany / Baden-Wuerttemberg	2020-02-25	State Health Office Baden-Wuerttemberg	"Charite_ Universitätsmedizin Berlin, Institute of Virologyh"	"Victor M Corman, Julia Schneider, Barbara Mu_hlemann, Talitha Veith, Jörn Beheim-Schwarzbach, Terry Jones, Rainer Oehme, Silke Fischer, Christian Drosten"
EPI_ISL_412964	BetaCoV/Brazil/SPBR-01/2020	South America / Brazil / Sao Paulo / Sao Paulo	2020-02-25	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory	"Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Daniela Bernardes Borges da Silva, Ingra Morales Claro, Flávia Cristina da Silva Sales, Claudia Regina Gonçalves, Joshua Quick, Maria do Carmo, Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria"
EPI_ISL_412965	BetaCoV/Canada/BC_37_0-2/2020	North America / Canada / British Columbia	2020-02-16	BCCDC Public Health Laboratory 	BCCDC Public Health Laboratory 	"Harrigan, Prystajecky, Krajden, Lee, Kamelian, Lapointe, Choi, Hoang, Sekirov, Levett, Tyson, Loman, Quick, Li, Gilmour "
EPI_ISL_412966	BetaCoV/China/IQTC01/2020	Asia / China / Guangdong / Guangzhou	2020-02-05	unknown	"Technology Centre, Guangzhou Customs"	"Shi,Y., Sun,J., Zheng,K., Huang,J. and Zhao,J."
EPI_ISL_412967	BetaCoV/China/IQTC02/2020	Asia / China / Guangzhou	2020-01-29	unknown	"Technology Centre, Guangzhou Customs"	"Shi,Y., Zheng,K., Sun,J., Huang,J., Zhu,A., Zhuang,Z., Dai,J., Chen,Z., Sun,F., Zhang,Z., Li,X. and Wang,Y."
EPI_ISL_412968	BetaCoV/Japan/Hu_DP_Kng_19-020/2020	Asia / Japan	2020-02-10	unknown	"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology"	"Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T."
EPI_ISL_412969	BetaCoV/Japan/Hu_DP_Kng_19-027/2020	Asia / Japan	2020-02-10	unknown	"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology"	"Hishiki,T., Suzuki,R., Sakuragi,J., Usui,K., Tanaka,Y., Kawai,J., Kogo,Y., Matsuki,Y., An,T., Hayashizaki,Y. and Takasaki,T."
EPI_ISL_412971	BetaCoV/Finland/FIN-25/2020	Europe / Finland / Helsinki	2020-02-25	"HUS Diagnostiikkakeskus, Hallinto "	"Department of Virology Faculty of Medicine, Medicum University of Helsinki"	"Teemu Smura, Suvi Kuivanen, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_412970	BetaCoV/USA/WA2/2020	North America / USA / Washington / Snohomish County	2020-02-24	Washington State Department of Health 	Seattle Flu Study 	"Helen Chu, Michael Boeckh, Janet Englund, Michael Famulare, Barry Lutz, Deborah Nickerson, Mark Rieder, Lea Starita, Matthew Thompson, Jay Shendure, and Trevor Bedford"
EPI_ISL_412973	BetaCoV/Italy/CDG1/2020	Europe / Italy / Lombardy	2020-02-20	"Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy"	"Virology Laboratory, Scientific Department, Army Medical Center"	"Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Riccardo De Santis, Silvia Fillo, Anna Anselmo, Andrea Ciammaruconi, Stefano Palomba, Florigio Lista"
EPI_ISL_412972	BetaCoV/Mexico/CDMX/InDRE_01/2020	North America / Mexico / Mexico City	2020-02-27	Instituto Nacional de Enfermedades Respiratorias	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	"Ramirez-Gonzalez Ernesto, Garces-Ayala Fabiola, Araiza-Rodriguez Adnan, Mendieta-Condado Edgar, Rodriguez-Maldonado Abril, Wong-Arambula Claudia, Vazquez-Perez Joel, Martinez Arturo, Boukadida Celia, Munoz-Medina Esteban, Sanchez Alejandro, Isa Pavel, Taboada Blanca, Lopez Susana, Arias Carlos, Barrera-Badillo Gisela, Hernandez-Rivas Lucia, Lopez-Martinez Irma"
EPI_ISL_412974	BetaCoV/Italy/SPL1/2020	Europe / Italy / Rome	2020-01-29	"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy"	"Virology Laboratory, Scientific Department, Army Medical Center"	"Paola Stefanelli, Stefano Fiore, Antonella Marchi, Eleonora Benedetti, Concetta Fabiani, Giovanni Faggioni, Antonella Fortunato, Silvia Fillo, Riccardo De Santis, Andrea Ciammaruconi, Giancarlo Petralito, Filippo Molinari, Florigio Lista"
EPI_ISL_412975	BetaCoV/Australia/NSW05/2020	Oceania / Australia / New South Wales / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_412978	BetaCoV/Wuhan/HBCDC-HB-02/2020	Asia / China / Hubei / Wuhan	2020-01-17	The Central Hospital Of Wuhan	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412979	BetaCoV/Wuhan/HBCDC-HB-03/2020	Asia / China / Hubei / Wuhan	2020-01-18	"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology"	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412980	BetaCoV/Wuhan/HBCDC-HB-04/2020	Asia / China / Hubei / Wuhan	2020-01-18	"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology"	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412981	BetaCoV/Wuhan/HBCDC-HB-05/2020	Asia / China / Hubei / Wuhan	2020-01-18	CR&WISCO GENERAL HOSPITAL	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412982	BetaCoV/Wuhan/HBCDC-HB-06/2020	Asia / China / Hubei / Wuhan	2020-02-07	Wuhan Lung Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412983	BetaCoV/Tianmen/HBCDC-HB-07/2020	Asia / China / Hubei / Tianmen	2020-02-08	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, YiFa Zhu, Yangyang Tao,Xierong Li,Yongzhong Jiang."
EPI_ISL_413016	BetaCov/Brazil/SPBR-02/2020	South America / Brazil / Sao Paulo/ Sao Paulo	2020-02-28	Hospital Israelita Albert Einstein	"Instituto Adolfo Lutz, Interdisciplinary Procedures Center, Strategic Laboratory"	"Jaqueline Goes de Jesus, Claudio Tavares Sacchi, Fabiana Cristina Pereira dos Santos, Ingra Morales Claro, Flávia Cristina da Silva Sales, Claudia Regina Gonçalves, Joshua Quick, Maria do Carmo Sampaio Tavares Timenetsky, Nicholas James Loman, Andrew Rambaut, Ester Cerdeira Sabino, Nuno Rodrigues Faria"
EPI_ISL_413014	BetaCoV/Canada/ON-PHL2445/2020	North America / Canada / Ontario	2020-01-25	Public Health Ontario Laboratory 	Ontario Agency for Health Protection and Promotion (OAHPP)	"Alireza Eshaghi, Samir N Patel, Jonathan B Gubbay, Vanessa G Allen, Christine Frantz, Aimin Li, Sandeep Nagra"
EPI_ISL_413017	BetaCoV/South Korea/KUMC01/2020	Asia / South Korea	2020-02-06	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Changmin Kang, Joon-Yong Bae, Jungmin Lee, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Dong Min Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413018	BetaCoV/South Korea/KUMC02/2020	Asia / South Korea	2020-02-06	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University"	"Changmin Kang, Joon-Yong Bae, Jungmin Lee, Heedo Park, Juyoung Cho, Jeonghun Kim, Gee eun Lee, Cui Chunguang, Kyeong-ryeol Shin, Dong Min Kim, Jin Il Kim, Man-Seong Park"
EPI_ISL_413019	BetaCoV/Switzerland/1000477102/2020	Europe / Switzerland / Zurich	2020-02-26	"Department of Internal Medicine, Triemli Hospital"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Gerhard Eich, Alexandra Trkola"
EPI_ISL_413020	BetaCoV/Switzerland/1000477377/2020	Europe / Switzerland / Zurich	2020-02-27	"Department of Internal Medicine, Triemli Hospital"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Gerhard Eich, Alexandra Trkola"
EPI_ISL_413021	BetaCoV/Switzerland/1000477757/2020	Europe / Switzerland / Zurich	2020-02-29	Klinik Hirslanden Zurich	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Gabriela Ziltener, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Christian Ruef, Alexandra Trkola"
EPI_ISL_413022	BetaCoV/Switzerland/1000477796/2020	Europe / Switzerland / Zurich	2020-02-29	"Division of Infectious Diseases, University Hospital Zurich"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Gabriela Ziltener, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Roberto Speck, Alexandra Trkola"
EPI_ISL_413023	BetaCoV/Switzerland/1000477797/2020	Europe / Switzerland / Zurich	2020-02-29	"Division of Infectious Diseases, University Hospital Zurich"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Gabriela Ziltener, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Roberto Speck, Alexandra Trkola"
EPI_ISL_413024	BetaCoV/Switzerland/1000477806/2020	Europe / Switzerland / Zurich	2020-02-29	"Division of Infectious Diseases, University Hospital Zurich"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Gabriela Ziltener, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jürg Böni, Michael Huber, Roberto Speck, Alexandra Trkola"
EPI_ISL_413213	BetaCoV/Australia/NSW06/2020	Oceania / Australia / New South Wales / Sydney	2020-02-29	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413214	BetaCoV/Australia/NSW07/2020	Oceania / Australia / New South Wales / Sydney	2020-02-29	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_413221	BetaCoV/Scotland/CVR01/2020	Europe / Scotland	2020-03-02	"West of Scotland Specialist Virology Centre, NHSGGC"	MRC-University of Glasgow Centre for Virus Research	"Emma Thomson, Antonia Ho; James Shephard, Shirin Ashraf; Kathy Smollett, Daniel Mair, Stephen Carmichael, Ana da Silva Filipe; Richard Orton, Josh Singer, Scott Arkison, David L Robertson; Andrew Rambaut; Alasdair MacLean, Rory Gunson."
